Cell,Age,Oxy,Sal,Period
581,20.3014,245.3248,35.0144,2016-18
582,20.6228,245.1590,35.0150,2016-18
583,20.5507,245.0038,35.0221,2016-18
584,16.1193,244.1829,35.1295,2016-18
585,16.3530,244.1857,35.1192,2016-18
586,14.8549,242.7883,35.1510,2016-18
587,15.5729,243.4678,35.1378,2016-18
588,16.1840,243.6848,35.1152,2016-18
589,17.3332,244.3901,35.0802,2016-18
590,20.1432,243.9778,35.0745,2016-18
591,20.3195,244.8961,35.0310,2016-18
592,20.5212,244.6910,35.0380,2016-18
593,20.2497,244.5303,35.0498,2016-18
594,19.8870,243.6898,35.0890,2016-18
595,19.1508,242.6017,35.1374,2016-18
596,19.4923,243.2917,35.1084,2016-18
597,15.5374,240.5171,35.2367,2016-18
598,14.5654,239.9481,35.2567,2016-18
599,14.2103,239.7400,35.2637,2016-18
600,12.9908,239.3418,35.2884,2016-18
601,14.5020,239.8448,35.2563,2016-18
602,14.8727,240.2682,35.2456,2016-18
603,15.4939,240.8828,35.2252,2016-18
604,16.5854,241.6664,35.1950,2016-18
605,17.0855,242.2185,35.1767,2016-18
606,18.9056,242.9333,35.1283,2016-18
607,18.3898,242.7604,35.1417,2016-18
608,18.0514,242.8946,35.1444,2016-18
609,17.3034,242.6541,35.1645,2016-18
610,14.0825,241.1732,35.2610,2016-18
611,12.7636,240.3320,35.2905,2016-18
612,12.4326,240.4485,35.2959,2016-18
613,12.6592,239.7437,35.2938,2016-18
614,11.5255,239.5915,35.3144,2016-18
615,12.8130,239.4794,35.2919,2016-18
616,15.8119,242.3160,35.2180,2016-18
617,14.7344,241.7961,35.2434,2016-18
618,15.2657,242.1079,35.2299,2016-18
619,14.6298,241.8415,35.2429,2016-18
620,15.3498,242.1378,35.2275,2016-18
621,13.2937,241.0672,35.2760,2016-18
622,17.0741,241.3885,35.2169,2016-18
623,16.5963,241.3389,35.2239,2016-18
624,17.2236,241.2835,35.2145,2016-18
625,15.5065,241.9519,35.2262,2016-18
626,15.1734,241.6870,35.2334,2016-18
627,15.4797,241.6815,35.2299,2016-18
628,15.0683,241.4162,35.2386,2016-18
629,15.6032,241.5250,35.2316,2016-18
630,15.2522,241.3258,35.2389,2016-18
631,15.6417,241.1084,35.2360,2016-18
